"[Com o Alvará de declaração que mandei publicar e que baixo ficará o Conselho na inteligência do que se deve observar neste caso. Belém 3 de outubro de 1758. Com rubrica de S. Majestade]O intendente do Rio das Mortes Manoel Caetano Monteiro em carta de 9 de julho de 1757 remeteu (como S. Majestade lhe ordena no Capítulo 5º § 1º  da Lei novíssima de 3 de dezembro de 1750, das Reais Casas de Fundição ) seis libras e setenta e uma oitavas em pó de ouro confiscadas a Thomé Antônio por lhe serem achadas pelos soldados da Patrulha do Caminho Novo [...] e como pelo confiscado fora declarado nas perguntas que lhe fizera e confessara outra semelhante escondida para o mesmo efeito que mandava ver e se lhe não achava coisa alguma [...]”, mas que ele julgara em igual e condera e para satisfação da condenação fizera sequestro de 20 bestas muares, 3 cavalos e 3 negros [...] mas que esses não chegavam a cumprir a quantia da pena e ainda faziam gastos e por isso admitira fiança por 1 ano. Os soldados ainda teriam requerido a meação da quantia da pena e como tinha dúvidas se a dita lei se estendia aos soldados na patrulha por obrigação militar, pedindo em conclusão resposta a essa dúvida.Deu-se vista ao procuradores da fazenda e coroaAo Conselho pareceu o mesmo que aos procuradores. Lisboa, 01 de março de 1758. Marquês de Penalva/ Metello/ Pardinho/Rangel/Costa/Coutinho/Sampaio.","136","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 152","01/03/1758","1758","Marquês de Penalva (Estevão de Meneses)Alexandre Metelo de Sousa MenesesRafael Pires PardinhoDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaAntónio de Azevedo CoutinhoFrancisco Xavier de Assis Pacheco e Sampaio","FazendaCoroa","03/10/1758","[Com o Alvará de declaração que mandei publicar e que baixo ficará o Conselho na inteligência do que se deve observar neste caso. Belém 3 de outubro de 1758. Com rubrica de S. Majestade]Alvará de 3 de outubro de 1758","Intendências, Casas de Fundição e capitação (administração)","1","","","","Sobe","Sobre a conta que deu o Intendente do Rio das Mortes a respeito do requerimento que lhe fizeram os soldados da patrulha do caminho novo, pelo qual [pretendem] a meação em que foi condenado Tomé Antônio a quem confiscaram para a real Fazenda certa quantia de ouro que tinha descaminhado.(Dúvida sobre lei)"
"Ouvidor em carta de 8 de julho de 1757Vista ao procurador da fazenda e Coroa.Ao Conselho pareceu o mesmo que aos procuradores.Lisboa, 28 de fevereiro de 1758. Metello/Pardinho/Carvalho/Bacalhau/Costa/Coutinho/Sampaio.1757, Julho, 8, Vila RicaCARTA de Francisco Ângelo Leitão, ouvidor de Vila Rica, dando as razõesda demissão do meirinho de Juízo do Fisco e do seu escrivão de Vila Rica.Nº de inventário no catálogo: 5871AHU-Minas Gerais, cx. 72, doc. 34AHU_CU_011, Cx. 72, D. 6024.","137","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 153","28/02/1758","1758","Alexandre Metelo de Sousa MenesesRafael Pires PardinhoFrancisco Lopes de CarvalhoFernando Jozé Marquez BacalhouAntónio Lopes da CostaAntónio de Azevedo CoutinhoFrancisco Xavier de Assis Pacheco e Sampaio","FazendaCoroa","","","Administração do oficialato (outros)","","","Sem resposta","","Sobe","Sobre a conta que dá a Sua Majestade o Ouvidor de Vila Rica das razões que teve para que desistindo perante ele o meirinho do juízo do fisco não consentisse se nomeasse outro, antes declarasse o dito [ofício] e o do seu escrivão por abolidos, pedindo ao mesmo senhor lhe declare o que deve fazer a vista da insinuação que teve do Conselho Geral do Santo Ofício para [aceitar] a dita nomeação."
"Carta de 5 e julho de 1757.Mandou-se responder o tesoureiro e seu escrivão.Deu-se vista ao procurador da Fazenda.O conselho é de parecer que deve-se apresentar a V. Majestade para que seja servido ordenar como o Conselho deve proceder.Lisboa. 20 de setembro de 1758. Metello/ Pardinho/Andrade/Carvalho/Rangel/Costa1758, setembro, 20, LisboaCONSULTA do Conselho Ultramarino sobre a conta que deu o governadorde Minas Gerais sobre a cobrança do subsídio voluntário referente a novemeses.Anexo: mapa do rendimento do Real Subsídio nas quatro Comarcas daCapitania de Minas Gerais no anos de 1756/57, 1 lembrete.Nº de inventário no catálogo: 5991AHU-Minas Gerais, cx. 73, doc. 56AHU_CU_011, Cx. 73, D. 6120.","138","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 158","20/09/1758","1758","Alexandre Metelo de Sousa MenesesRafael Pires PardinhoAntónio Freire de Andrade HenriquesFrancisco Lopes de CarvalhoDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da Costa","Fazenda","09/10/1758","[pela Secretaria de Estado tenho dado a providência necessária. Belém, 9 de outubro de 1758. Com rubrica de S. M]","Contos e moedas (administração, remessas, circulação e arbítrios)","","","Sem resposta","","Sobe","O Governador das Minas gerais dá conta de que fez remeter na forma do aviso de Sua Majestade à mesa da inspeção e cobrança do subsídio voluntário de nove meses, e vai o mapa que a mesma conta acusa."
"Carta de 10 de abril de 1758, sobre o decreto de 18 de fevereiro de 1741 e ordem de 16 de abril de 1756.Deu-se vista o Procurador da Fazenda e da Coroa.Lisboa, 18 de setembro de 1758. Metello, Pardinho, Andrade, Carvalho, Costa.1758, Abril, 10, Vila RicaCARTA de José Antônio Freire de Andrada, governador das Minas Gerais,dando conta das arrematações de alguns ofícios das ditas Minas.Anexo: provisão (cópia).Nº de inventário no catálogo: 5957AHU-Minas Gerais, cx. 73, doc. 30AHU_CU_011, Cx. 73, D. 6094.","139","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 159","18/09/1758","1758","Alexandre Metelo de Sousa MenesesRafael Pires PardinhoAntónio Freire de Andrade HenriquesFrancisco Lopes de CarvalhoAntónio Lopes da Costa","FazendaCoroa","","","Administração do oficialato (outros)","","","Sem resposta","","Sobe","Sobre a conta que deu o Governador interino das Capitanias do Rio de Janeiro e Minas Gerais a respeito das arrematações de alguns ofícios das ditas Minas, e vão os documentos que se acusam."
"Carta de 21 de julho de 1756, em que informam ser costume dar por ano 40 oitavas de ouro ao porteiro pelo trabalho, mas que o ouvidor geral do Rio das Mortes, em correição, lhe deixara provimento para que se não pagasse as ditas oitavas. A câmara questiona essa medida como prejudicial pois não é possível achar quem queira assumir a função. O ouvidor foi ouvido e respondeu em carta de 3 de julho de 1757 apresentando as razões para ter deixado provimento sem embargo do antigo costume, afirmando ter se fundado na lei que não admite despesas dos bens da câmara sem provisão de V. M. Apesar de considerar até justo aquele costume, afirma que a câmara está pobre o ordenado fixado seria suficiente. O procurador da Fazenda respondeu que se fizesse justiça. O procurador da coroa se conformou com o parecer do ministro informante.O Conselho considerou que em vista da posse que está o porteiro de cobrar ordenado pelos bens do Conselho apesar de não ter provisão, como os emolumentos dos oficiais daquela câmara se acham regulados pelo novo regimento pode-se regular aquele ordenado. Por isso, deve S. M. ser servido conceder a provisão aos oficiais da câmara para poderem dar ao seu porteiro o ordenado de quarenta mil réis em moeda. Lisboa, 31 de outubro de 1758. Metello, Pardinho, Andrade, Bacalhao, Rangel, Costa.","140","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 160","31/10/1758","1758","Alexandre Metelo de Sousa MenesesRafael Pires PardinhoAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da Costa","FazendaCoroa","23/11/1758","[Como parece. Belém, 23 de novembro de 1758. Com rubrica de S. Magestade]","Governança camarária (despesas, propinas e glozas)","","","","","Sobe","Sobre a representação que fez a Sua Majestade os oficiais da câmara da Vila de São João del Rey a respeito da faculdade que há na observância do provimento que ali deixou o Ouvidor daquela comarca e sobre ordenado do porteiro da mesma câmara."
"[Sou servido, que esta e as mais câmaras do Brasil proponham anualmente aos respectivos governadores e capitães generais, três letrados com carta de formatura, que sejam moradores dentro da mesma Comarca e de boa e sã consciência para juízes destas demarcações em primeira instância para os mesmos Governadores nomearem também anualmente, o que lhe parecer mais idôneo; vencendo estes a quarta parte dos emolumentos; que atualmente se pagam aos Intendentes que vão de fora, dando apelação e agravo para o ouvidor da Comarca e dela para a mesa da Coroa da Relação, a que tocar e ser vindo os escrivães do público judicial e notas por uma distribuição rigorosa, e impreterível de escrivães das sobreditas demarcações com os salários e caminhos que pelos meus regimentos vencem nas outras causas ordinárias; e para a observância de tudo o referido hei por derrogada todas as resoluções e ordens em contrário, as quais hei por abolidas, e mando que sejam averbados nos registros delas nesta conformidade. Nossa Senhora da Ajuda, 27 de novembro de 1761. Com a rubrica de S.M.]Os oficiais da câmara da Vila Nova da Rainha em carta de 07/04/1759.Se mandou dar vistas ao procurador da Fazenda e Coroa, e informar o governador, com nova vista aos procuradoresAo Conselho parece o mesmo que ao governador com algumas declarações.Lisboa, 27 de outubro de 1761. Metello, Andrade, Bacalhau, Rangel, Costa, Sampaio, Tavares.","141","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 169","27/10/1761","1761","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaFrancisco Xavier de Assis Pacheco e SampaioJoão Soares Tavares","FazendaCoroa","27/11/1761","Sou servido, que esta e as mais câmaras do Brasil proponham anualmente aos respectivos governadores e capitães generais, três letrados com carta de formatura, que sejam moradores dentro da mesma Comarca e de boa e sã consciência para juízes destas demarcações em primeira instância para os mesmos Governadores nomearem também anualmente, o que lhe parecer mais idôneo; vencendo estes a quarta parte dos emolumentos; que atualmente se pagam aos Intendentes que vão de fora, dando apelação e agravo para o ouvidor da Comarca e dela para a mesa da Coroa da Relação, a que tocar e ser vindo os escrivães do público judicial e notas por uma distribuição rigorosa, e impreterível de escrivães das sobreditas demarcações com os salários e caminhos que pelos meus regimentos vencem nas outras causas ordinárias; e para a observância de tudo o referido hei por derrogada todas as resoluções e ordens em contrário, as quais hei por abolidas, e mando que sejam averbados nos registros delas nesta conformidade. Nossa Senhora da Ajuda, 27 de novembro de 1761. Com a rubrica de S.M.]","Sesmarias e datas (queixumes e arbítrios)","","","","","Sobe","Sobre o que informa o Conde de Bobadela a respeito da conta que por este conselho deram os oficiais da câmara da Vila de Nova Rainha em que pedem Sua majestade seja servido conceder aos habitantes residentes na capitania das Minas Gerais, se conservem nas posses tomadas até o presente como próprios títulos de suas sesmarias e vai a cópia da conta e ordem que se acusa.*** Gera legislação real"
"Carta dos oficiais da câmara de 3 de fevereiro do corrente ano “que tendo notícia da inata piedade, e grandeza com que Vossa Majestade querendo fetilizar a seus vassalos foi servido estabelecer uma nova lei em que se aboliram todas as cláusulas, que existiam para ensino da gramática [...]” e fazem a súplica na certeza de que “v.M. é pai, e não cessa em dispensar todos os meios úteis para a conservação, e aumento de seus filhos, que incessantemente rogam a Deus por V.M].Vista ao procurador da Fazenda que disse que o Diretor Geral deveria ser ouvido.Ao Conselho parece o mesmo.Lisboa, 24 de outubro de 1761. Metelo, Andrade, Rangel, Costa, Sampaio.1761, Fevereiro, 3, Vila do PríncipeCARTA dos oficiais da Câmara de Vila do Príncipe, solicitando a fundaçãoda escola de gramática na sua Comarca.Anexo: representações (minutas), notas, parecer.Nº de inventário no catálogo: 6402AHU-Minas Gerais, cx. 77, doc. 24AHU_CU_011, Cx. 77, D. 6371.","142","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 166","24/10/1761","1761","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaFrancisco Xavier de Assis Pacheco e Sampaio","Fazenda","03/07/1763","Em AHU-Minas Gerais, cx. 77, doc. 24[Sou servido aprovar estas condições do Conselho na conformidade delas ...]Em 03/07/1763","Administração do oficialato (outros)","","03/10/1761","Sem resposta","","Sobe","Sobre a representação que fazem a Sua Majestade os oficiais da câmara da Vila do Príncipe para que o mesmo Senhor mande erigir aula de gramática naquela Vila, e sua comarca."
"Carta de 12 de janeiro do presenteVista procuradores da fazenda e coroa.Ao Conselho parece por na real presença de V. M. esta conta para dar as providências que for servido. Lisboa 28 de setembro de 1761. Metelo, Baculhau, Rangel, Costa, Tavares, Sotomayor.1761, Janeiro, 12, MarianaCARTA do bispo de Mariana, D. fr. Manuel da Cruz, solicitando a côngruasuficiente para os mestres que continuassem com as aulas de GramáticaLatina na povoação de Nossa Senhora da Boa Morte.Nº de inventário no catálogo: 6420AHU-Minas Gerais, cx. 77, doc. 1AHU_CU_011, Cx. 77, D. 6348.","143","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 166","28/09/1761","1761","Alexandre Metelo de Sousa MenesesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaJoão Soares TavaresManoel António da Cunha de Sottomayor","","","","Palácio Episcopal e Seminário","","","Sem resposta","","Sobe","Sobre a conta que deu o Bispo de Mariana a respeito do Seminário que principiou naquela cidade com licença de V. Majestade, no qual há mandar lição de Gramática Latina e Retórica, e também se ensina Teologia Moral, e no ano de 1760, se acabou um curso de Filosofia, pedindo ao dito Sr. Seja servido mandar côngruas suficientes para outros Mestres do referido seminário, e tomar este debaixo de Sua Real proteção"
"Governador interino em carta de 16 de dezembro de 1760Vista ao Procurador da fazenda e Coroa.Ao Conselho parece o mesmo que aos procuradores régios. Lisboa 30 de outubro de 1761. Metelo, andrade, Bacalhau, Rangel, Costa, Tavares, Sampaio.","144","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 167","30/10/1761","1761","Alexandre Metelo de Sousa MenesesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaJoão Soares TavaresFrancisco Xavier de Assis Pacheco e Sampaio","FazendaCoroa","27/11/1761","[Como parece. Nossa Senhora da Ajuda, 27 de novembro de 1761. Com rubrica de S.M.]","Administração do oficialato (outros)","1","16/12/1760","","","Sobe","Sobre a conta que deu a Sua Majestade o Governador das Minas Gerais e ouvidor do Serro Frio da necessária criação do juiz ordinário e mais oficiais competentes, que requerem os moradores do sertão da dita Comarca para a Barra do Rio das Velhas, e vai a conta do Ouvidor por cópia, e com os documentos que ambas acusam."
"[Vai deferido na Consulta de 27 de outubro do presente ano com a resolução que baixa na mesma data desta. Nossa Senhora da Ajuda, 27 de novembro de 1761. Com a rubrica de S. M.]Intendente da Comarca de Sabará José Gomes de Araújo em carta de 20 de novembro de 1759 que “sendo lei expressa que ao julgador a quem for apresentada qualquer provisão no seu conhecimento fique a matéria da obrrecção que a mesma se puser, sendo clara disposição também da lei do reino, que o executor a quem se cometer a execução de alguma coisa, que não fosse ainda julgada, conheça do negócio principal, como se lhe fora expressamente cometido: que o contrário se pratica com os Intendentes [...] porque sendo eles juízes privativos nas medições, demarcações e posse das sesmarias, por ordem expressa de V.M. de 28 de março de 1743 todos os embargos, com que as partes se opoe ou a mesma súplica de que emanou a graça concedida em nome de V.M. ou as mesmas medição de marcações e posses, se remetem as justiças ordinárias por outra resolução de V.M. o que deram causa algumas desordens praticadas por outros Intendentes no tempo que ocupavam aqueles lugares simultaneamente ministros de letras, e outros quaisquer destinados a este emprego, sem ser de ciência este requisito, como sempre sucedera e no tempo da capitação antes de abolido este método, em o que os ministros de V.M. hoje servem naqueles lugares, vão a experimentar algumas desordens porque comumente sucede serem as ditas causas julgadas por juízes das terras leigos preteridos os Ministros de letras que são os Intendentes, e o que mais é estando na mesma terra o domicílio que exclui todo o dano das partes, que a respeito dos mais juízes tombistas se considerou para passarem semelhantes causas as justiças ordinárias, cuidando estas em se devanti ficarem em tudo dos Intendentes; ficando neste /caso que conhecessem dos ditos pleitos/ uma bem estabelecida forma e primeira instância, com o recurso das partes, que em coisa alguma serão prejudicadas, e que antes se lhe evitaria o perigo de juízes pátrios em que é mais provável a inclinação ou o desagrado e ódio.Que estas razões o obrigavam a por na presença de V.M. o quanto seria menos oneroso as partes conhecerem os Intendentes de todos e quaisquer embargos com que as mesmas se opusessem à concessão das datas, que os governadores daquelas capitanias fazem em nome de V.M., e outros quaisquer sobre as mencionadas medições o que também é coerente e que já se acha determinado na lei do Reino l. 4º tt. 43 § 5º quando as terras como todas as da América pertencem a Coroa de V.M. legitimando-se o conhecimento as justiças ordinárias só em as de que o mesmo § infine faz menção.[.....]Vista ao procurador da fazenda que considerou dever-se escusar o requerimento.O Conselho considerou que deve-se responder que “nas medições das terras das datas não tinha mais jurisdição que os juízes dos tombos, e que não convinha alterar oo que se achava determinado a este respeito.Foram expedidas ordens conforme esse despacho e o Intendente deu nova conta em tudo semelhante “senão expressa a qual foi V.M. servido por decreto de 11 de julho do corrente ano mandar remeter a este Conselho para nele se ver, e com efeito consultar o que parecesse.”“Para haver de se satisfazer a este real decreto de V.M. se mandou juntar a outra conta semelhante, e tornar ao Conselho; e dando-se de tudo vista ao procurador da Fazenda disse: que esta conta se mandou ajuntar a outra da mesma substância, e já decidida contra o Intendente no ano de 1759, e porque o não satisfez a resolução que então teve do Conselho recorre agora imediatamente a V.M.” [parecer...]Deu-se vista ao procurador da Coroa [...]“Ao Conselho parece que a matéria que contém esta representação  se acha afeita a V.M. por Consulta de 27 de outubro do presente ano, e que com a resolução que V.M. for servido tomar na dita Consulta ficam deferidos o Intendente do Sabará e todos os mais pelo que pertence a jurisdição, que devem ter na demarcação das sesmarias. Lisboa, 03 de novembro de 1761. Metello, Andrade, Bacalhau, Rangel, Costa, Tavares, Sampaio.","145","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 168","03/11/1761","1761","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouDiogo Rangel de Almeyda CastellobrancoAntónio Lopes da CostaJoão Soares TavaresFrancisco Xavier de Assis Pacheco e Sampaio","FazendaCoroa","27/11/1761","[Vai deferido na Consulta de 27 de outubro do presente ano com a resolução que baixa na mesma data desta. Nossa Senhora da Ajuda, 27 de novembro de 1761. Com a rubrica de S. M.]","Jurisdições e precedências (queixas, conflitos, recursos e dúvidas)","","20/11/1759","","Resolução junto a outra consultaResolução junto a outra","Sobe","Satisfaz ao que Sua Majestade ordena sobre se lhe consultar por este Conselho a conta que imediatamente deu o mesmo Senhor Intendente da Comarca do Sabará a respeito de se lhe permitir que as causas que se moverem entre os sesmeiros sobre as posses das terras e demarcações delas só possam ser determinados pelos mesmos Intendentes com a [petição] e agravo para a Relação do Continente, evitando-se por este modo tantas confusões que do contrário se seguem; e vão os documentos que se acusam.Observação: resolução junto a outra consulta"
"[Como parece ao último voto. Nossa Senhora da Ajuda, 10 de janeiro de 1765. Com a rubrica de S.M.]O fiscal José Correia Silva, em carta de onze de maio de 1762 representa a Vossa Majestade por este Conselho; que por Decreto de 18 de novembro do ano antecedente fora V. Mjestade servido fazer mercê ao Dr. José Gomes de [Azeredo] do lugar de Provedor da Fazenda real das Minas gerais, com o predicamento de Desembargador da Relação da Bahia dando boa residência do lugar, que estava servindo de Intendente do Ouro daquela Comarcar do Sabará; para o qual fim ordenara V.M. ao Dr. Casemiro Teixeira Machado, Intendente do Ouro da comarca de Vila Rica tirasse residência ao [dito] desembargador por todo o tempo que serviu de Intendente, e pelos mais cargos anexos, e a seus oficiais na forma da ordenação, e regimento.Que o dito sindicante em observância da ordem que tivera, depois de haver suspenso ao Ministro sindicado, mandara notificar a mesma suspensão aos oficiais daquela Casa de Fundição fazendo-os assinar auto, e nomeando-lhes distrito para que se ausentassem, distante algumas léguas: ficando suspensos o Tesoureiro, o escrivão da receita, e despesa, e da Intendência e conferência e ultimamente o das fundições.Que com este incidente se vira perplexo ele Fiscal, porque na forma do regimento com que se restabeleceram naquela capitania as reais Casas de Fundição no cap. 4º §6º pertencia ao governo econômico na falta do Intendente, ao qual expos quanto seria o dano que experimentaria aquela comarca e a Real fazenda de V.M. na diminuição do direito senhorial dos quintos, suspensos os oficiais em ocasião de frota, pois a sua torna viagem se havia publicado para dali 38 dias, com termo improrrogável, sendo impraticável que eles, sindicados pudessem nomear pessoas que servissem os seus oficiais, ou que a ele sindicante competisse este direito, atendida a qualidade das suas provisões.Que os oficiais que servem a V.M. naquelas casas são propostos todos os anos pelas câmaras respectivas na forma do regimento, competindo ao Governador e Capitão general daquela capitania, eleger um a quem mandava passar provisão, o que sempre se praticava, sem embargo da carta de oficio, em que declarou o mesmo Governador que segundo a intensão de V.M. os primeiros propostos deviam ser os que se achavam em atual exercício, enquanto por crime, morte, ou desistência não vagassem os ofícios da sua primeira nomeação termos em que não lhes podendo o sindicante nomear ou admitir serventuários viria a parar o lavor das fundições em os meses das residências, porque segundo a qualidade com que se restabeleceu se irem as barras depois de quintados todos os oficiais devem estar em atual exercício em seus respectivos lugares para se ajustarem as conferências, e mais requisitos da lei.Que no caso de se nomearem serventuários não podia ser achados bons, porque se ainda conservados os do método da capitação, e os novos admitidos no princípio do outro método não cumpriam bem com todas as obrigações que se podia esperar do que se achassem estranhos? Que além disto discorrendo por todos os oficiais suspensos lhe parecia não se entender com eles a resolução de V.M., porque os 3 escrivães da receita e despesa, Intendência e conferencia e fundições só tem a aplicação de escrever nos livros que lhes são destinados tão sujeitos a residências, que qualquer erro que cometam se conhece em as barras, ou guias, e logo pelo seu mal serviço com as informações anuais que pedem os Governadores aos ministros Intendentes, podem ser expulsos, acrescendo ser impossível que os ditos oficiais executem extorsões com as partes por não darem lugar a isso os diminutos negócios da sua incumbência.Que o Tesoureiro suspenso também deve ficar livre desta seguição, pois dá fianças para exercer o dito emprego, tendo também a ocupação de juiz da balança porque pesa as parcelas, que entram em ouro em pó tirando-lhe o quinto pertencente a V.M., e mandando as Fundições o seu líquido depois pesa as barras pertencente as partes, distinguindo-lhes o peso o que tudo é conferido pelos escrivães respectivos em que não pode haver prejuízo as mesmas partes, nem receio que obrigue ao ônus da residência, antes parece que sendo este ofício de tanta ponderação e de um mecanismo tal, que poucos tem aptidão para ele, se deviam conservar os que servissem sem nota, praticando-se o que se acha resoluto a favor dos oficiais de Banca, e evitando-se deste modo os empenhos com que as câmaras querem propor estes importantíssimos ofícios, igualmente que os trimestres dos Fiscais, em que V.M. fora constante a prática de semelhantes nomeações. [....][pede declaração para que os ditos oficiais não sejam abarcados pelas residências]Deu-se vista ao procurador da Fazenda que considerou não haver dúvidas de que os oficiais deveriam ser sindicados quando o fosse o Intendente com quem serviam e que para que não parasse o exercício dos ofícios durante a residência devia-se dar a mesma providencia que se praticava quando tinham  impedimento legítimo.O procurador da Coroa disse que estavam sujeitos a residência  e que durante ela deviam estar suspensos, nomeando-se substitutos que no breve tempo de sua duração servissem as suas faltas na forma praticada quando sobrevinha alguma legítimo impedimento.“Ao Conselho parece que V.M. seja servido ordenar que nas ordens que se passarem para se tirarem as residências aos Intendentes das Casas de Fundição do Brasil, se declare que sem o Intendente suspender nem a tirar aos oficiais da mesma casa, se informe particularmente do seu procedimento como também de que tiveram os oficiais que serviram com o Ministro Sindicado depois da residência de seu antecessor e do que o mesmo sindicante achar a respeito do procedimento dos ditos oficiais dará conta com a que der dos procedimentos do Intendente Sindicado para se ficar conhecendo por este modo o bem ou mal que serviram os seus ofícios, sem o inconveniente de serem suspensos, como se com eles se praticasse o Regimento das Residências, que rigorosamente senão entende com semelhantes oficiais da Fazenda, que só escrevem em livros dentro da Casa da Fundição.”Ao Conselheiro João Soares Tavares parece que com os oficiais das casas de Fundição do Brasil senão deve praticar absolutamente a lei das residências por serem oficiais de fazenda, e alguns não chegam a servir seis meses, e tem somente o exercício de escrever nos livros [..] sem algum outro emprego em que possam delinquir contra os capítulos das residências estabelecidos para os oficiais de justiça.Porém como o escrivão da Intendência e conferencia escreve perante o Intendente nas devassas que é obrigado a tirar nas denúncias nos autos crimes e em outras diligências, de que tem emolumentos, e vence salários, justo parece que este escrivão seja suspenso e se lhe tome residência [...]. E a respeito dos demais oficiais que não devem ser suspensos no tempo da residência, tirará o sindicante uma exata informação do seu procedimento, que para na presença de V.M. quando informar da capacidade do Intendente, e os meirinhos e alcaldes com seus escrivães ainda que sejam do juízo ordinário em observância do Regimento das Casas da Fundição sirvam por distribuição aos meses á ordem do Intendente, devem dar com ele residência. Lisboa, 10 de setembro de 1764. Metello, Andrade, Bacalhau, Sampaio, Tavares, SotoMaior.","146","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 171","10/09/1764","1764","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouFrancisco Xavier de Assis Pacheco e SampaioJoão Soares TavaresManoel António da Cunha de Sottomayor","FazendaCoroa","10/01/1765","[Como parece ao último voto. Nossa Senhora da Ajuda, 10 de janeiro de 1765. Com a rubrica de S.M.]","Administração da justiça (queixas e arbítrios)","","11/05/1762","","","Sobe","Sobre as razões que na ocasião em que se tirou residência ao Intendente do Ouro do Sabará não ficaram suspensos os oficiais que com ele serviam naquela Casa da Fundição de que dá conta o fiscal respectivo pedindo providências. "
"Oficiais da câmara em carta de 03 de setembro de 1760.Ordenou-se por provisão de 22 de novembro de 1761 que o ouvidor informasse, o que satisfez em carta de 05/05/1762.Deu-se vista ao procurador da fazenda e CoroaAo Conselho parece o mesmo que aos Procuradores régios. Lisboa, 12 de setembro de 1764. Metello, Andrade, Bacalhau, Tavares, Sampaio, Sotomaior","147","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 173","12/09/1764","1764","Alexandre Metelo de Sousa MenesesAntónio Freire de Andrade HenriquesFernando Jozé Marquez BacalhouJoão Soares TavaresFrancisco Xavier de Assis Pacheco e SampaioManoel António da Cunha de Sottomayor","FazendaCoroa","09/03/1765","[Como parece. Nossa Senhora da Ajuda, 09 de março de 1765. Com rubrica de S.M.]resolução de 03/03/1769 ordena que o governador informe sobre a divisão, mas tem como base outra carta.","Administração do oficialato (outros)","","03/09/1760","Sem resposta","","Sobe","Sobre se fazer presente a sua majestade os inconvenientes de que dão conta os oficiais da Câmara da Vila real do Sabará de servir uma só pessoa os tres oficios de inquiridor, contador e distribuidor nos dois juízos ordinários e ouvidoria daquela comarca, e vai a cópia que se acusa."
"[Como parece. Nossa Senhora da Ajuda, 03 de janeiro de 1765. Com rubrica de S.M.]Carata de 12/05/1762, que pedem que ordem para que o corregedor não gloze esses gastosVista aos procuradores régios.Ao Conselho parece o mesmo com  declaração.Lisboa, 06/10/1764. Andrade, Bacalhau, Costa, Tavares, Sampaio, Sotomaior","148","Minas Gerais","Registro de Consultas de Minas Gerais, do Conselho Ultramarino, códice 244. p. 174","06/10/1764","1764","António Freire de Andrade HenriquesFernando Jozé Marquez BacalhouAntónio Lopes da CostaJoão Soares TavaresFrancisco Xavier de Assis Pacheco e SampaioManoel António da Cunha de Sottomayor","FazendaCoroa","03/01/1765","[Como parece. Nossa Senhora da Ajuda, 03 de janeiro de 1765. Com rubrica de S.M.]","Governança camarária (despesas, propinas e glozas)","1","12/05/1762","","","Sobe","Os oficiais da câmara da cidade de Mariana pedem a Sua Majestade lhes faça mercê mandar se lhe levem em conta as despesas e mais propinas que fizeram pela ocasião do feliz nascimento do príncipe nosso senhor; e vai os documentos que se acusa."
